1178	136	11264
4336	158	5741
7503	169	3645
2017	121	9624
9379	158	4073
8154	5	2903
14360	213	13564
6589	137	6794
10275	38	1345
6813	213	10051
6458	51	8065
8530	46	3613
9050	114	6379
2207	69	13946
3588	59	5957
6566	215	3329
2978	88	5957
7433	18	6490
11031	60	5406
13075	136	2000
14464	140	6703
3804	203	12442
6967	222	12099
7059	199	6815
11548	169	8914
6412	30	12062
14360	231	82
1326	60	88
8692	54	11169
8849	176	13504
283	109	1116
7332	213	3550
10009	122	1373
7172	197	9354
579	60	2994
1593	93	7526
7526	151	10398
9630	136	6129
11317	60	14492
9120	90	9324
6714	93	7526
11343	224	8354
5925	114	6379
11727	12	13078
1084	212	7526
9453	2	4522
594	47	8463
11441	126	4812
5416	79	162
12626	46	2320
4249	90	9324
13920	154	528
1491	36	9940
554	158	9238
8069	56	10427
947	60	14492
5635	60	7496
3416	136	8681
322	7	2357
14423	92	5463
88	59	5957
11616	231	13961
11788	23	10599
1311	166	6055
8642	88	5957
1433	123	1141
7536	120	1007
12358	158	8825
3199	105	4537
2860	60	4880
9274	51	6219
8056	32	4894
11190	51	1580
9157	205	1134
137	2	1309
1346	136	3506
2281	138	5957
8536	51	13852
5037	217	2002
3159	161	14360
10905	92	9703
1270	2	11459
8346	235	4391
642	136	5592
9231	130	7806
13812	105	12713
3263	202	6084
10786	46	1015
2658	46	467
4861	166	8306
14112	2	8181
11230	146	4676
10042	46	151
5466	176	937
12107	51	5171
6814	94	3403
1971	158	13490
2438	224	7405
9658	135	6524
205	166	5165
6733	68	9299
2867	135	4501
14435	110	7802
13101	46	10375
6967	229	9324
7493	2	13374
11011	181	8922
8019	46	10123
7533	117	3919
4909	53	12678
13196	208	6635
6222	60	12252
6276	151	3164
2771	145	1983
7589	57	7325
12909	47	6305
3777	60	4894
4564	28	4894
9621	117	7975
589	158	1906
9472	219	5957
6526	154	528
9613	203	4270
2176	56	3368
9624	66	11146
1519	57	6523
9419	233	7526
4211	224	6419
4390	151	6727
7697	136	9395
1413	97	3082
8670	158	8356
13302	36	11357
11943	154	528
